what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1334266584315
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1334266584364
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1334266584377
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1334266584377
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1334266584378
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1334266584407
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1334266584408
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1334266584409
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1334266584466
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1334266584467
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1334266584476
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1334266584546
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1334266584547
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1334266584565
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1334266584579
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1334266584581
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1334266584582
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1334266584583
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1334266584584
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1334266584635
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1334266584678
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1334266584680
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1334266584696
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1334266584729
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1334266584754
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1334266584757
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1334266584779
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1334266584783
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1334266584801
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1334266584814
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1334266584815
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1334266584815
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1334266584823
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1334266584874
os,sysinfo,,,"macosx",1334266584879
arch,sysinfo,,,"x86_64",1334266584879
ws,sysinfo,,,"cocoa",1334266584879
locale,sysinfo,,,"en_US",1334266584879
processors,sysinfo,,,"4",1334266584879
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334266584879
java.runtime.version,sysinfo,,,"1.6.0_31-b04-414-11M3626",1334266584879
java.specification.name,sysinfo,,,"Java Platform API Specification",1334266584879
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334266584879
java.specification.version,sysinfo,,,"1.6",1334266584879
java.vendor,sysinfo,,,"Apple Inc.",1334266584879
java.version,sysinfo,,,"1.6.0_31",1334266584879
java.vm.info,sysinfo,,,"mixed mode",1334266584879
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334266584879
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334266584879
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334266584879
java.vm.specification.version,sysinfo,,,"1.0",1334266584879
java.vm.vendor,sysinfo,,,"Apple Inc.",1334266584879
java.vm.version,sysinfo,,,"20.6-b01-414",1334266584879
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1334266586007
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1334266586448
